id,media_id,bidder,amount_raw,amount_eth,currency,timestamp,tx_hash
14391-0xab06e86d240a5f515ea6d16c3530c6596f8bb774,14391,0xab06e86d240a5f515ea6d16c3530c6596f8bb774,100000000000000,0.0001,WETH,2022-05-08 11:40:10,0x21aa46f124a3a8ae1dc88d5fbf4f9403c1ee23873d6b6b841223d90095945867
10574-0x3aedbc38b51ba03cc3797eadc6a76fe2827c8770,10574,0x3aedbc38b51ba03cc3797eadc6a76fe2827c8770,1000000000000000,0.001,WETH,2022-05-08 10:41:25,0x82d4b102285a2ac6069be64cc108a5c2547da4ad88d168db593842a2e7e0a0df
10390-0x520016b308d6ff2001b354737a9434fa564f6feb,10390,0x520016b308d6ff2001b354737a9434fa564f6feb,2550000,2.55,USDC,2022-05-08 09:45:28,0x16ebf887fb540a67c186d443225db280d33e80efadef38105d529b340e3a469b
12795-0xe40987f8ca51d3f72947400a7459e66db2715bc1,12795,0xe40987f8ca51d3f72947400a7459e66db2715bc1,100000000000000000,0.1,UNI,2022-05-07 17:38:09,0x31e591e164c1e2d7d6ad82a6d5462c6f22f70acbd571260826fb52a22f54a7cb
8930-0x5a756d9c7caa740e0342f755fa8ad32e6f83726b,8930,0x5a756d9c7caa740e0342f755fa8ad32e6f83726b,10000000000000000,0.01,WETH,2022-05-07 10:32:15,0xd165c1373f678b815ce91577dd4c4bdce3843d822a61bdf02955d1379ee7e2b2
10395-0xf7c13ad0a87a9329d7db754dae372d21309c79e8,10395,0xf7c13ad0a87a9329d7db754dae372d21309c79e8,55000000,55.0,USDC,2022-05-07 05:35:51,0x2fac1de76c454d2e86ca50c8e7e1ba9571185734e49a665530a777d7820e22d1
10478-0x91cbfe70de24c40e4a8771ffe58f3eb97b0241ee,10478,0x91cbfe70de24c40e4a8771ffe58f3eb97b0241ee,100000000,100.0,USDC,2022-05-06 06:45:22,0x643e52b668b5f62a14312a0b1b59689791e6007a84b9bd55627151a0480f3e16
3943-0x1fd739bfcb6bd70919d19ed2698a8d1bb77fe16c,3943,0x1fd739bfcb6bd70919d19ed2698a8d1bb77fe16c,8880000000000000000,8.88,WETH,2022-05-04 14:44:49,0xd78502f69a575bfd94ecab8bbc4ae59891c7f58ad1419aac2d5308de4ce968cb
10450-0x3c7d5bb537abae440e0abe552342f422a4b1e6c1,10450,0x3c7d5bb537abae440e0abe552342f422a4b1e6c1,1000000000000000000,1.0,UNI,2022-05-03 05:44:11,0xe6d45b9cccd69f057a296b5de2bdfb159f568379e308b8d9727a408450683db3
10105-0x66300889afb808626498c28e3811bb9b06a014ad,10105,0x66300889afb808626498c28e3811bb9b06a014ad,10000000000000000,0.01,WETH,2022-04-17 09:24:34,0xb8322eda45059b7e36d3847cbbbc95ac262adc1fda815c7a0b99bb137d770332
9925-0xeb54d707252ee9e26e6a4073680bf71154ce7ab5,9925,0xeb54d707252ee9e26e6a4073680bf71154ce7ab5,7690000000000000000,7.69,FWB,2022-04-11 23:12:07,0x3a4826773d28c6584b3f3dbfa01fd8ccfe8879c7e9191c86d4722edf7b76810b
2847-0x9c39869f01e9138504b6a1fc09523ea5741aeb40,2847,0x9c39869f01e9138504b6a1fc09523ea5741aeb40,10000000000000000,0.01,WETH,2022-04-02 08:47:46,0x39ea56c4b7fc13599f4c93d5ee9a0eafa5b5f1aacf7a09487ad97e4c8f254743
8886-0xb512f6eda8d66092c5ab1d6c5ec718970e064683,8886,0xb512f6eda8d66092c5ab1d6c5ec718970e064683,100000000000000000,0.1,WETH,2022-03-31 02:59:53,0xc148a00fac2fb7719f3f709e7ccf2bd74cecdf750c1389298a6243997f21ed66
9506-0xad8717e33c719a9b407ad6b40d0be237845c2fbf,9506,0xad8717e33c719a9b407ad6b40d0be237845c2fbf,80000000000000000000,80.0,RAC,2022-03-31 02:22:15,0xdeaa736f5bab81bd085a289d729ae4bdf883ce21c482860a56cd377c905091a1
8156-0x1d4b9b250b1bd41daa35d94bf9204ec1b0494ee3,8156,0x1d4b9b250b1bd41daa35d94bf9204ec1b0494ee3,550000000000000000,0.55,WETH,2022-03-30 03:10:16,0x55a9d1f159b8fcab8b363471ed3af709ff89b414c6f9c039c31ec834683407f3
7989-0xf6b6f07862a02c85628b3a9688beae07fea9c863,7989,0xf6b6f07862a02c85628b3a9688beae07fea9c863,1000000000000000000,1.0,WETH,2022-03-29 02:31:54,0xf2faefc53833e81d755b32aefee3b5975095e2b26791991beaa92be606acfb61
8001-0xf6b6f07862a02c85628b3a9688beae07fea9c863,8001,0xf6b6f07862a02c85628b3a9688beae07fea9c863,1000000000000000000,1.0,WETH,2022-03-29 02:31:33,0xa0c4d7a72a3237741c9ebc04d0ffeca9347169edf11769560624a4d2a948b247
7999-0xf6b6f07862a02c85628b3a9688beae07fea9c863,7999,0xf6b6f07862a02c85628b3a9688beae07fea9c863,1000000000000000000,1.0,WETH,2022-03-28 23:37:23,0xf9b5af54fdc68e0cf3be0e2923fcd48828a0d9eceac79e514fe7d60c5028765b
7987-0xf6b6f07862a02c85628b3a9688beae07fea9c863,7987,0xf6b6f07862a02c85628b3a9688beae07fea9c863,2000000000000000000,2.0,WETH,2022-03-28 23:35:36,0x6819a9da1bdf16f38e995ff4b8d82e1ec7a637089e9b9a85c1889a1037ade735
6871-0x2e9fdf78216a7939b33ba4f2f687193393e13133,6871,0x2e9fdf78216a7939b33ba4f2f687193393e13133,15000000,15.0,USDC,2022-03-27 05:33:47,0x73d5ebeded4ae86a9f9ae108f9bdc94114777c6ee70124a1de689c52e547bfbc
8908-0xd7b1256f7f0a5ab554f833535a17243fd11e986e,8908,0xd7b1256f7f0a5ab554f833535a17243fd11e986e,100000000000000000,0.1,WETH,2022-03-23 17:38:50,0x65c0b4dde69d11300bfbc4481440fb8a71d97fce1636429b3c3c10faa16bbad5
3756-0xb3f95707e903304138a264f0955663594090494a,3756,0xb3f95707e903304138a264f0955663594090494a,350000000000000000,0.35,WETH,2022-03-12 22:22:00,0xed91fa8486f204ac1b59c60f347d8d4d9aa1add6f8200c1e6102494ed7b7df6d
